epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
0,0.03492278790588091,0.9881675839424133,0.9884209331365649,0.987908258367777,0.9881645292563109,0.04323694677768704,0.9844087958335876,0.9971305595408895,0.9849424269264836,0.9909990196952143
1,0.011889611429939193,0.996263861656189,0.9967228008695934,0.9958019288435044,0.9962621520598705,0.041540258080725645,0.9955233335494995,0.9964639321074965,0.9984056687333924,0.9974338554110256
2,0.00883803514782674,0.9972445368766785,0.9975348286543733,0.9969527514385282,0.9972437051088736,0.08475446679055985,0.9799320697784424,0.9962209825445384,0.9806908768821966,0.9883949294768791
3,0.005379800482048609,0.9983466863632202,0.9984598174478364,0.9982332441851042,0.9983465179613539,0.08524067130379616,0.9810126423835754,0.9960474308300395,0.9821080602302923,0.989028632592989
4,0.004175447232077107,0.9988572597503662,0.9989138892491246,0.9988005510981441,0.9988572169585761,0.035978505423864306,0.9902747869491577,0.9983928571428572,0.9904340124003543,0.9943975100044464
5,0.004505867324120381,0.9987033009529114,0.9988326658992526,0.9985736283329281,0.998703130319192,0.05948885604011836,0.9853349924087524,0.9973118279569892,0.9858281665190434,0.9915367483296214
6,0.0028632197320015394,0.9991733431816101,0.9991409909398856,0.9992057703217441,0.9991733795808548,0.10303413387458996,0.9830194711685181,0.9965907051857168,0.9838795394154118,0.9901943305402032
7,0.002825737750794937,0.9991814494132996,0.9992381014135651,0.9991247264770241,0.9991814107291929,0.08496886174227228,0.9841000437736511,0.9985606333213386,0.983170947741364,0.9908060340980095
8,0.0020538136953562117,0.999489426612854,0.9995946953730424,0.999384066780128,0.999489369979818,0.07647512995711733,0.9837912917137146,0.9971284996410624,0.9842338352524358,0.9906392083444772
9,0.002540896630521142,0.9991976618766785,0.999254312021787,0.999140935245968,0.9991976204177236,0.09489627776523461,0.9825563430786133,0.9973031283710896,0.9826395039858281,0.9899170161506201
